timestamp;dl_rssi;dl_snr;dl_mcs;dl_throughput;dl_pkts;dl_kbits;ul_rssi;ul_snr;ul_mcs;ul_throughput;ul_pkts;ul_kbits;mode
2026-05-09T20:01:58-05:00;-76;20;104;0.66;232;200;-79;19;104;0.4;204;119;sm
2026-05-09T20:06:59-05:00;-76;20;103;0.79;337;239;-78;20;104;0.37;198;112;sm
2026-05-09T20:12:00-05:00;-76;20;104;0.76;359;229;-82;18;104;0.33;173;99;sm
2026-05-09T20:17:01-05:00;-76;20;105;0.86;387;258;-79;19;103;0.41;208;123;sm
2026-05-09T20:22:02-05:00;-76;20;106;1.24;337;372;-79;19;102;0.36;185;108;sm
2026-05-09T20:27:03-05:00;-76;20;102;1.19;321;359;-80;20;104;0.39;196;118;sm
2026-05-09T20:32:04-05:00;-76;20;104;1.63;303;491;-80;18;104;0.36;186;108;sm
2026-05-09T20:37:05-05:00;-76;20;103;0.88;304;265;-79;19;104;0.38;202;115;sm
2026-05-09T20:42:06-05:00;-76;20;104;1.34;522;404;-81;17;103;0.32;168;96;sm
2026-05-09T20:47:07-05:00;-76;20;104;1.12;499;337;-80;18;103;0.4;206;121;sm
2026-05-09T20:52:08-05:00;-76;20;104;1.33;451;399;-81;19;103;0.38;188;113;sm
2026-05-09T20:57:09-05:00;-76;20;104;1.35;258;407;-79;19;104;0.36;187;108;sm
2026-05-09T21:02:10-05:00;-76;20;104;1.32;503;396;-81;19;104;0.37;190;110;sm
2026-05-09T21:07:11-05:00;-76;20;104;0.69;250;208;-80;20;103;0.37;188;112;sm
2026-05-09T21:12:12-05:00;-76;20;105;0.84;306;252;-81;19;102;0.35;179;104;sm
2026-05-09T21:17:13-05:00;-76;20;105;0.89;341;268;-78;20;104;0.39;200;117;sm
2026-05-09T21:22:15-05:00;-76;20;105;0.71;247;215;-79;19;103;0.35;181;105;sm
2026-05-09T21:27:15-05:00;-76;20;104;0.81;271;242;-79;19;104;0.4;210;121;sm
2026-05-09T21:32:16-05:00;-76;20;104;0.68;232;205;-80;18;103;0.35;177;104;sm
2026-05-09T21:37:17-05:00;-76;20;104;0.83;355;251;-81;19;103;0.39;198;117;sm
2026-05-09T21:42:18-05:00;-76;20;104;0.81;352;243;-82;18;104;0.39;197;116;sm
2026-05-09T21:47:20-05:00;-76;20;103;0.53;184;160;-80;20;103;0.45;213;137;sm
2026-05-09T21:52:21-05:00;-76;20;104;0.46;165;138;-78;20;103;0.36;186;109;sm
2026-05-09T21:57:21-05:00;-76;20;104;1.02;283;305;-79;19;104;0.4;204;119;sm
