ts,role,ip,peer_ip,dl_mcs,ul_mcs,dl_snr_db,ul_snr_db,dl_rssi_dbm,ul_rssi_dbm,dl_rate,note
2026-05-09T00:55:26-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,20,-75,-80,137M,ok
2026-05-09T00:56:27-05:00,AP,192.168.1.2,192.168.1.3,106,105,21,21,-75,-79,154M,ok
2026-05-09T00:57:27-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,20,-75,-80,137M,ok
2026-05-09T00:58:27-05:00,AP,192.168.1.2,192.168.1.3,104,104,21,20,-75,-80,103M,ok
2026-05-09T00:59:28-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,20,-75,-80,137M,ok
2026-05-09T01:00:28-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,20,-75,-80,137M,ok
2026-05-09T01:01:28-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,20,-75,-78,137M,ok
2026-05-09T01:02:28-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,21,-75,-77,137M,ok
2026-05-09T01:03:29-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,21,-75,-79,137M,ok
2026-05-09T01:04:29-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,21,-75,-79,137M,ok
2026-05-09T01:05:29-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,21,-75,-79,137M,ok
2026-05-09T01:06:30-05:00,AP,192.168.1.2,192.168.1.3,106,104,21,20,-75,-78,154M,ok
2026-05-09T01:07:31-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,20,-75,-80,137M,ok
2026-05-09T01:08:31-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,20,-75,-78,137M,ok
2026-05-09T01:09:31-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,21,-75,-79,137M,ok
2026-05-09T01:10:32-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,21,-75,-79,137M,ok
2026-05-09T01:11:32-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,20,-75,-80,137M,ok
2026-05-09T01:12:32-05:00,AP,192.168.1.2,192.168.1.3,104,104,21,20,-75,-80,103M,ok
2026-05-09T01:13:33-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,19,-75,-81,137M,ok
2026-05-09T01:14:33-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,19,-75,-79,137M,ok
2026-05-09T01:15:33-05:00,AP,192.168.1.2,192.168.1.3,106,104,21,20,-75,-80,154M,ok
2026-05-09T01:16:33-05:00,AP,192.168.1.2,192.168.1.3,104,105,21,20,-75,-80,103M,ok
2026-05-09T01:17:34-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,20,-75,-78,137M,ok
2026-05-09T01:18:34-05:00,AP,192.168.1.2,192.168.1.3,106,104,21,20,-75,-80,154M,ok
2026-05-09T01:19:34-05:00,AP,192.168.1.2,192.168.1.3,104,104,21,21,-75,-79,103M,ok
2026-05-09T01:20:35-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,19,-75,-81,137M,ok
2026-05-09T01:21:35-05:00,AP,192.168.1.2,192.168.1.3,104,105,21,20,-75,-80,103M,ok
2026-05-09T01:22:35-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,19,-75,-81,137M,ok
2026-05-09T01:23:35-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,20,-75,-80,137M,ok
2026-05-09T01:24:36-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,20,-75,-80,137M,ok
2026-05-09T01:25:36-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,20,-75,-80,137M,ok
2026-05-09T01:26:36-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,20,-75,-80,137M,ok
2026-05-09T01:27:37-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,20,-75,-80,137M,ok
2026-05-09T01:28:37-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,20,-75,-80,137M,ok
2026-05-09T01:29:37-05:00,AP,192.168.1.2,192.168.1.3,104,105,21,21,-75,-79,103M,ok
2026-05-09T01:30:38-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,20,-75,-80,137M,ok
2026-05-09T01:31:38-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,20,-75,-80,137M,ok
2026-05-09T01:32:38-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,20,-75,-80,137M,ok
2026-05-09T01:33:38-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,20,-75,-80,137M,ok
2026-05-09T01:34:39-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,21,-75,-79,137M,ok
2026-05-09T01:35:39-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,20,-75,-80,137M,ok
2026-05-09T01:36:39-05:00,AP,192.168.1.2,192.168.1.3,105,107,21,20,-75,-80,137M,ok
2026-05-09T01:37:40-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,20,-75,-80,137M,ok
2026-05-09T01:38:40-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,19,-75,-81,137M,ok
2026-05-09T01:39:40-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,20,-75,-80,137M,ok
2026-05-09T01:40:40-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,20,-75,-80,137M,ok
2026-05-09T01:41:41-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,20,-75,-80,137M,ok
2026-05-09T01:42:41-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,20,-75,-78,137M,ok
2026-05-09T01:43:41-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,19,-75,-81,137M,ok
2026-05-09T01:44:42-05:00,AP,192.168.1.2,192.168.1.3,105,103,21,20,-75,-80,137M,ok
2026-05-09T01:45:43-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,19,-75,-81,137M,ok
2026-05-09T01:46:43-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,20,-75,-80,137M,ok
2026-05-09T01:47:43-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,20,-75,-80,137M,ok
2026-05-09T01:48:44-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,19,-75,-81,137M,ok
2026-05-09T01:49:44-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,21,-75,-79,137M,ok
2026-05-09T01:50:44-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,20,-75,-80,137M,ok
2026-05-09T01:51:45-05:00,AP,192.168.1.2,192.168.1.3,105,106,21,20,-75,-78,137M,ok
2026-05-09T01:52:45-05:00,AP,192.168.1.2,192.168.1.3,104,105,21,19,-75,-81,103M,ok
2026-05-09T01:53:45-05:00,AP,192.168.1.2,192.168.1.3,104,103,21,21,-75,-79,103M,ok
2026-05-09T01:54:45-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,20,-75,-80,137M,ok
2026-05-09T01:55:46-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,19,-75,-81,137M,ok
2026-05-09T01:56:46-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,20,-75,-80,137M,ok
2026-05-09T01:57:46-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,20,-75,-78,137M,ok
2026-05-09T01:58:47-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,19,-75,-81,137M,ok
2026-05-09T01:59:47-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,20,-75,-80,137M,ok
2026-05-09T02:00:47-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,19,-75,-79,137M,ok
2026-05-09T02:01:47-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,21,-75,-79,137M,ok
2026-05-09T02:02:48-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,20,-75,-80,137M,ok
2026-05-09T02:03:48-05:00,AP,192.168.1.2,192.168.1.3,104,105,21,20,-75,-80,103M,ok
2026-05-09T02:04:49-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,20,-75,-80,137M,ok
2026-05-09T02:05:50-05:00,AP,192.168.1.2,192.168.1.3,106,105,21,20,-75,-80,154M,ok
2026-05-09T02:06:50-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,21,-75,-79,137M,ok
2026-05-09T02:07:50-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,20,-75,-80,137M,ok
2026-05-09T02:08:50-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,21,-75,-79,137M,ok
2026-05-09T02:09:51-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,19,-75,-81,137M,ok
2026-05-09T02:10:51-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,19,-75,-81,137M,ok
2026-05-09T02:11:51-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,20,-75,-80,137M,ok
2026-05-09T02:12:52-05:00,AP,192.168.1.2,192.168.1.3,104,105,21,20,-75,-80,103M,ok
2026-05-09T02:13:52-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,20,-75,-78,137M,ok
2026-05-09T02:14:52-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,20,-75,-80,137M,ok
2026-05-09T02:15:52-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,20,-75,-78,137M,ok
2026-05-09T02:16:53-05:00,AP,192.168.1.2,192.168.1.3,105,103,21,19,-75,-81,137M,ok
2026-05-09T02:17:53-05:00,AP,192.168.1.2,192.168.1.3,104,104,21,19,-75,-81,103M,ok
2026-05-09T02:18:53-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,19,-75,-81,137M,ok
2026-05-09T02:19:54-05:00,AP,192.168.1.2,192.168.1.3,104,104,21,19,-75,-81,103M,ok
2026-05-09T02:20:54-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,19,-75,-81,137M,ok
