ts,role,ip,f4,f5,f6,f7,mcs_dl,mcs_ul,snr_dl,snr_ul,rssi_c0p,rssi_c0e,rssi_c1p,rssi_c1e,dl_rate,ul_rate,sta_dl_rssi,sta_ul_rssi,res20,res21,res22,res23,res24
2026-02-26T00:00:01-05:00,AP,192.168.1.2,0,137,2,2,104,104,20,20,	-80,	-82,	-90,	-93,103M,,-76,-78,,,,,
2026-02-26T00:00:01-05:00,SM,192.168.1.3,2,2,,,104,104,20,20,	-80,	-82,	-90,	-93,103M,,-76,-78,,,,,
2026-02-26T00:01:01-05:00,AP,192.168.1.2,0,137,2,2,104,104,20,20,	-83,	-84,	-92,	-95,103M,,-76,-79,,,,,
2026-02-26T00:01:01-05:00,SM,192.168.1.3,2,2,,,104,104,20,20,	-83,	-84,	-92,	-95,103M,,-76,-79,,,,,
2026-02-26T00:02:01-05:00,AP,192.168.1.2,0,137,2,2,104,104,20,19,	-98,,,,103M,,-76,-80,,,,,
2026-02-26T00:02:01-05:00,SM,192.168.1.3,2,2,,,104,104,20,19,	-98,,,,103M,,-76,-80,,,,,
2026-02-26T00:03:01-05:00,AP,192.168.1.2,0,137,2,2,104,104,20,19,	-84,	-85,	-92,	-95,103M,,-76,-79,,,,,
2026-02-26T00:03:01-05:00,SM,192.168.1.3,2,2,,,104,104,20,19,	-84,	-85,	-92,	-95,103M,,-76,-79,,,,,
2026-02-26T00:04:01-05:00,AP,192.168.1.2,0,137,2,2,104,104,20,20,	-85,	-86,	-92,	-94,103M,,-76,-80,,,,,
2026-02-26T00:04:01-05:00,SM,192.168.1.3,2,2,,,104,104,20,20,	-85,	-86,	-92,	-94,103M,,-76,-80,,,,,
2026-02-26T00:05:01-05:00,AP,192.168.1.2,0,137,2,2,104,104,20,20,	-83,	-84,	-92,	-94,103M,,-76,-79,,,,,
2026-02-26T00:05:01-05:00,SM,192.168.1.3,2,2,,,104,104,20,20,	-83,	-84,	-92,	-94,103M,,-76,-79,,,,,
2026-02-26T00:06:01-05:00,AP,192.168.1.2,0,137,2,2,104,104,20,19,	-84,	-85,	-92,	-95,103M,,-76,-80,,,,,
2026-02-26T00:06:01-05:00,SM,192.168.1.3,2,2,,,104,104,20,19,	-84,	-85,	-92,	-95,103M,,-76,-80,,,,,
2026-02-26T00:07:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,20,20,	-81,	-82,	-90,	-93,137M,,-76,-79,,,,,
2026-02-26T00:07:01-05:00,SM,192.168.1.3,2,2,,,105,104,20,20,	-81,	-82,	-90,	-93,137M,,-76,-79,,,,,
2026-02-26T00:08:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,20,19,	-83,	-84,	-94,	-96,137M,,-76,-79,,,,,
2026-02-26T00:08:01-05:00,SM,192.168.1.3,2,2,,,105,105,20,19,	-83,	-84,	-94,	-96,137M,,-76,-79,,,,,
2026-02-26T00:09:01-05:00,AP,192.168.1.2,0,137,2,2,104,104,20,18,	-85,	-86,	-93,	-95,103M,,-76,-82,,,,,
2026-02-26T00:09:01-05:00,SM,192.168.1.3,2,2,,,104,104,20,18,	-85,	-86,	-93,	-95,103M,,-76,-82,,,,,
2026-02-26T00:10:01-05:00,AP,192.168.1.2,0,137,2,2,104,104,20,20,	-83,	-85,	-93,	-96,103M,,-76,-78,,,,,
2026-02-26T00:10:01-05:00,SM,192.168.1.3,2,2,,,104,104,20,20,	-83,	-85,	-93,	-96,103M,,-76,-78,,,,,
2026-02-26T00:11:01-05:00,AP,192.168.1.2,0,137,2,2,104,104,20,19,	-83,	-85,	-95,	-96,103M,,-76,-79,,,,,
2026-02-26T00:11:01-05:00,SM,192.168.1.3,2,2,,,104,104,20,19,	-83,	-85,	-95,	-96,103M,,-76,-79,,,,,
2026-02-26T00:12:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,20,19,	-83,	-85,	-94,	-96,137M,,-76,-79,,,,,
2026-02-26T00:12:01-05:00,SM,192.168.1.3,2,2,,,105,104,20,19,	-83,	-85,	-94,	-96,137M,,-76,-79,,,,,
2026-02-26T00:13:01-05:00,AP,192.168.1.2,0,137,2,2,104,104,20,19,	-80,	-83,	-92,	-95,103M,,-76,-79,,,,,
2026-02-26T00:13:01-05:00,SM,192.168.1.3,2,2,,,104,104,20,19,	-80,	-83,	-92,	-95,103M,,-76,-79,,,,,
