ts,role,ip,f4,f5,f6,f7,mcs_dl,mcs_ul,snr_dl,snr_ul,rssi_c0p,rssi_c0e,rssi_c1p,rssi_c1e,dl_rate,ul_rate,sta_dl_rssi,sta_ul_rssi,res20,res21,res22,res23,res24
2026-02-20T00:00:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,21,21,	-79,	-80,	-91,	-92,137M,,-76,-77,,,,,
2026-02-20T00:00:01-05:00,SM,192.168.1.3,2,2,,,105,105,21,21,	-79,	-80,	-91,	-92,137M,,-76,-77,,,,,
2026-02-20T00:01:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,21,22,	-80,	-82,	-94,	-98,137M,,-76,-76,,,,,
2026-02-20T00:01:01-05:00,SM,192.168.1.3,2,2,,,105,105,21,22,	-80,	-82,	-94,	-98,137M,,-76,-76,,,,,
2026-02-20T00:02:01-05:00,AP,192.168.1.2,0,137,2,2,104,105,21,22,	-81,	-82,	-92,	-94,103M,,-76,-76,,,,,
2026-02-20T00:02:01-05:00,SM,192.168.1.3,2,2,,,104,105,21,22,	-81,	-82,	-92,	-94,103M,,-76,-76,,,,,
2026-02-20T00:03:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,21,21,	-83,	-84,	-93,	-96,137M,,-76,-79,,,,,
2026-02-20T00:03:01-05:00,SM,192.168.1.3,2,2,,,105,105,21,21,	-83,	-84,	-93,	-96,137M,,-76,-79,,,,,
2026-02-20T00:04:02-05:00,AP,192.168.1.2,0,137,2,2,104,105,21,21,	-81,	-83,	-95,	-97,103M,,-76,-79,,,,,
2026-02-20T00:04:02-05:00,SM,192.168.1.3,2,2,,,104,105,21,21,	-81,	-83,	-95,	-97,103M,,-76,-79,,,,,
2026-02-20T00:05:01-05:00,AP,192.168.1.2,0,137,2,2,104,105,21,22,	-80,	-82,	-93,	-96,103M,,-76,-76,,,,,
2026-02-20T00:05:01-05:00,SM,192.168.1.3,2,2,,,104,105,21,22,	-80,	-82,	-93,	-96,103M,,-76,-76,,,,,
2026-02-20T00:06:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,21,21,	-82,	-83,	-96,	-96,137M,,-76,-77,,,,,
2026-02-20T00:06:01-05:00,SM,192.168.1.3,2,2,,,105,105,21,21,	-82,	-83,	-96,	-96,137M,,-76,-77,,,,,
2026-02-20T00:07:01-05:00,AP,192.168.1.2,0,137,2,2,104,104,21,22,	-80,	-82,	-91,	-94,103M,,-76,-76,,,,,
2026-02-20T00:07:01-05:00,SM,192.168.1.3,2,2,,,104,104,21,22,	-80,	-82,	-91,	-94,103M,,-76,-76,,,,,
2026-02-20T00:08:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,21,22,	-80,	-82,	-93,	-96,137M,,-76,-76,,,,,
2026-02-20T00:08:01-05:00,SM,192.168.1.3,2,2,,,105,105,21,22,	-80,	-82,	-93,	-96,137M,,-76,-76,,,,,
2026-02-20T00:09:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,21,22,	-78,	-80,	-92,	-96,137M,,-76,-76,,,,,
2026-02-20T00:09:01-05:00,SM,192.168.1.3,2,2,,,105,105,21,22,	-78,	-80,	-92,	-96,137M,,-76,-76,,,,,
