ts,role,ip,f4,f5,f6,f7,mcs_dl,mcs_ul,snr_dl,snr_ul,rssi_c0p,rssi_c0e,rssi_c1p,rssi_c1e,dl_rate,ul_rate,sta_dl_rssi,sta_ul_rssi,res20,res21,res22,res23,res24
2026-02-21T00:18:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,20,22,	-81,	-84,	-91,	-93,137M,,-76,-77,,,,,
2026-02-21T00:18:01-05:00,SM,192.168.1.3,2,2,,,105,105,20,22,	-81,	-84,	-91,	-93,137M,,-76,-77,,,,,
2026-02-21T00:19:01-05:00,AP,192.168.1.2,0,137,2,2,104,104,20,20,	-82,	-84,	-92,	-94,103M,,-76,-79,,,,,
2026-02-21T00:19:01-05:00,SM,192.168.1.3,2,2,,,104,104,20,20,	-82,	-84,	-92,	-94,103M,,-76,-79,,,,,
2026-02-21T00:20:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,20,20,	-81,	-84,	-92,	-94,137M,,-76,-78,,,,,
2026-02-21T00:20:01-05:00,SM,192.168.1.3,2,2,,,105,104,20,20,	-81,	-84,	-92,	-94,137M,,-76,-78,,,,,
2026-02-21T00:21:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,20,20,	-81,	-84,	-92,	-95,137M,,-76,-78,,,,,
2026-02-21T00:21:01-05:00,SM,192.168.1.3,2,2,,,105,104,20,20,	-81,	-84,	-92,	-95,137M,,-76,-78,,,,,
2026-02-21T00:22:01-05:00,AP,192.168.1.2,0,137,2,2,104,104,19,20,	-81,	-84,	-92,	-96,103M,,-77,-78,,,,,
2026-02-21T00:22:01-05:00,SM,192.168.1.3,2,2,,,104,104,19,20,	-81,	-84,	-92,	-96,103M,,-77,-78,,,,,
2026-02-21T00:23:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,19,21,	-81,	-83,	-91,	-94,137M,,-77,-77,,,,,
2026-02-21T00:23:01-05:00,SM,192.168.1.3,2,2,,,105,104,19,21,	-81,	-83,	-91,	-94,137M,,-77,-77,,,,,
2026-02-21T00:24:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,21,	-81,	-84,	-92,	-95,137M,,-77,-77,,,,,
2026-02-21T00:24:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,21,	-81,	-84,	-92,	-95,137M,,-77,-77,,,,,
2026-02-21T00:25:01-05:00,AP,192.168.1.2,0,137,2,2,104,105,19,21,	-81,	-84,	-92,	-93,103M,,-77,-77,,,,,
2026-02-21T00:25:01-05:00,SM,192.168.1.3,2,2,,,104,105,19,21,	-81,	-84,	-92,	-93,103M,,-77,-77,,,,,
2026-02-21T00:26:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,21,	-82,	-83,	-91,	-93,137M,,-77,-77,,,,,
2026-02-21T00:26:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,21,	-82,	-83,	-91,	-93,137M,,-77,-77,,,,,
2026-02-21T00:27:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,19,21,	-81,	-84,	-90,	-94,137M,,-77,-77,,,,,
2026-02-21T00:27:01-05:00,SM,192.168.1.3,2,2,,,105,105,19,21,	-81,	-84,	-90,	-94,137M,,-77,-77,,,,,
2026-02-21T00:28:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,19,19,	-82,	-85,	-93,	-94,137M,,-77,-79,,,,,
2026-02-21T00:28:01-05:00,SM,192.168.1.3,2,2,,,105,104,19,19,	-82,	-85,	-93,	-94,137M,,-77,-79,,,,,
2026-02-21T00:29:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,19,21,	-81,	-83,	-91,	-94,137M,,-77,-77,,,,,
