ts,role,ip,f4,f5,f6,f7,mcs_dl,mcs_ul,snr_dl,snr_ul,rssi_c0p,rssi_c0e,rssi_c1p,rssi_c1e,dl_rate,ul_rate,sta_dl_rssi,sta_ul_rssi,res20,res21,res22,res23,res24
2026-02-24T00:00:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,20,20,	-81,	-82,	-93,	-95,137M,,-77,-78,,,,,
2026-02-24T00:00:01-05:00,SM,192.168.1.3,2,2,,,105,104,20,20,	-81,	-82,	-93,	-95,137M,,-77,-78,,,,,
2026-02-24T00:01:02-05:00,AP,192.168.1.2,0,137,2,2,105,104,20,19,	-82,	-85,	-96,	-96,137M,,-77,-79,,,,,
2026-02-24T00:01:02-05:00,SM,192.168.1.3,2,2,,,105,104,20,19,	-82,	-85,	-96,	-96,137M,,-77,-79,,,,,
2026-02-24T00:02:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,20,20,	-82,	-84,	-94,	-97,137M,,-77,-80,,,,,
2026-02-24T00:02:01-05:00,SM,192.168.1.3,2,2,,,105,104,20,20,	-82,	-84,	-94,	-97,137M,,-77,-80,,,,,
2026-02-24T00:03:01-05:00,AP,192.168.1.2,0,137,2,2,104,104,20,20,	-82,	-84,	-95,	-97,103M,,-77,-78,,,,,
2026-02-24T00:03:01-05:00,SM,192.168.1.3,2,2,,,104,104,20,20,	-82,	-84,	-95,	-97,103M,,-77,-78,,,,,
2026-02-24T00:04:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,20,20,	-82,	-85,	-97,	-99,137M,,-77,-78,,,,,
2026-02-24T00:04:01-05:00,SM,192.168.1.3,2,2,,,105,104,20,20,	-82,	-85,	-97,	-99,137M,,-77,-78,,,,,
2026-02-24T00:05:01-05:00,AP,192.168.1.2,0,137,2,2,104,104,20,19,	-82,	-85,	-99,	-98,103M,,-77,-79,,,,,
2026-02-24T00:05:01-05:00,SM,192.168.1.3,2,2,,,104,104,20,19,	-82,	-85,	-99,	-98,103M,,-77,-79,,,,,
2026-02-24T00:06:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,20,20,	-80,	-83,	-94,	-98,137M,,-77,-78,,,,,
2026-02-24T00:06:01-05:00,SM,192.168.1.3,2,2,,,105,104,20,20,	-80,	-83,	-94,	-98,137M,,-77,-78,,,,,
2026-02-24T00:07:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,20,19,	-82,	-85,	-95,	-97,137M,,-77,-79,,,,,
2026-02-24T00:07:01-05:00,SM,192.168.1.3,2,2,,,105,104,20,19,	-82,	-85,	-95,	-97,137M,,-77,-79,,,,,
2026-02-24T00:08:01-05:00,AP,192.168.1.2,0,137,2,2,104,104,20,19,	-82,	-84,	-93,	-97,103M,,-77,-79,,,,,
2026-02-24T00:08:01-05:00,SM,192.168.1.3,2,2,,,104,104,20,19,	-82,	-84,	-93,	-97,103M,,-77,-79,,,,,
2026-02-24T00:09:01-05:00,AP,192.168.1.2,0,137,2,2,104,104,20,20,	-82,	-84,	-95,	-97,103M,,-77,-78,,,,,
2026-02-24T00:09:01-05:00,SM,192.168.1.3,2,2,,,104,104,20,20,	-82,	-84,	-95,	-97,103M,,-77,-78,,,,,
2026-02-24T00:10:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,20,20,	-81,	-82,	-96,	-99,137M,,-77,-78,,,,,
