ts,role,ip,f4,f5,f6,f7,mcs_dl,mcs_ul,snr_dl,snr_ul,rssi_c0p,rssi_c0e,rssi_c1p,rssi_c1e,dl_rate,ul_rate,sta_dl_rssi,sta_ul_rssi,res20,res21,res22,res23,res24
2026-02-25T00:00:01-05:00,AP,192.168.1.2,0,137,2,2,106,105,22,23,	-95,,	-94,,154M,,-74,-77,,,,,
2026-02-25T00:00:01-05:00,SM,192.168.1.3,2,2,,,106,105,22,23,	-95,,	-94,,154M,,-74,-77,,,,,
2026-02-25T00:01:01-05:00,AP,192.168.1.2,0,137,2,2,106,105,22,23,	-78,	-80,	-90,	-93,154M,,-74,-75,,,,,
2026-02-25T00:01:01-05:00,SM,192.168.1.3,2,2,,,106,105,22,23,	-78,	-80,	-90,	-93,154M,,-74,-75,,,,,
2026-02-25T00:02:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,22,23,	-80,	-81,	-93,	-93,137M,,-74,-75,,,,,
2026-02-25T00:02:01-05:00,SM,192.168.1.3,2,2,,,105,105,22,23,	-80,	-81,	-93,	-93,137M,,-74,-75,,,,,
2026-02-25T00:03:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,22,23,	-82,	-84,	-94,	-95,137M,,-74,-77,,,,,
2026-02-25T00:03:01-05:00,SM,192.168.1.3,2,2,,,105,105,22,23,	-82,	-84,	-94,	-95,137M,,-74,-77,,,,,
2026-02-25T00:04:01-05:00,AP,192.168.1.2,0,137,2,2,106,105,22,22,	-80,	-81,	-94,	-95,154M,,-74,-76,,,,,
2026-02-25T00:04:01-05:00,SM,192.168.1.3,2,2,,,106,105,22,22,	-80,	-81,	-94,	-95,154M,,-74,-76,,,,,
2026-02-25T00:05:01-05:00,AP,192.168.1.2,0,137,2,2,106,105,22,23,	-77,	-79,	-91,	-92,154M,,-74,-75,,,,,
2026-02-25T00:05:01-05:00,SM,192.168.1.3,2,2,,,106,105,22,23,	-77,	-79,	-91,	-92,154M,,-74,-75,,,,,
2026-02-25T00:06:01-05:00,AP,192.168.1.2,0,137,2,2,106,105,22,23,	-79,	-82,	-94,	-95,154M,,-74,-75,,,,,
2026-02-25T00:06:01-05:00,SM,192.168.1.3,2,2,,,106,105,22,23,	-79,	-82,	-94,	-95,154M,,-74,-75,,,,,
2026-02-25T00:07:01-05:00,AP,192.168.1.2,0,137,2,2,106,105,22,23,	-80,	-81,	-92,	-95,154M,,-74,-75,,,,,
2026-02-25T00:07:01-05:00,SM,192.168.1.3,2,2,,,106,105,22,23,	-80,	-81,	-92,	-95,154M,,-74,-75,,,,,
2026-02-25T00:08:01-05:00,AP,192.168.1.2,0,137,2,2,106,105,22,23,	-80,	-82,	-93,	-95,154M,,-74,-75,,,,,
2026-02-25T00:08:01-05:00,SM,192.168.1.3,2,2,,,106,105,22,23,	-80,	-82,	-93,	-95,154M,,-74,-75,,,,,
2026-02-25T00:09:01-05:00,AP,192.168.1.2,0,137,2,2,106,105,22,23,	-81,	-83,	-92,	-96,154M,,-74,-77,,,,,
2026-02-25T00:09:01-05:00,SM,192.168.1.3,2,2,,,106,105,22,23,	-81,	-83,	-92,	-96,154M,,-74,-77,,,,,
2026-02-25T00:10:01-05:00,AP,192.168.1.2,0,137,2,2,106,105,22,23,	-80,	-81,	-93,	-95,154M,,-74,-75,,,,,
2026-02-25T00:10:01-05:00,SM,192.168.1.3,2,2,,,106,105,22,23,	-80,	-81,	-93,	-95,154M,,-74,-75,,,,,
2026-02-25T00:11:01-05:00,AP,192.168.1.2,0,137,2,2,106,105,22,22,	-80,	-82,	-93,	-96,154M,,-74,-76,,,,,
2026-02-25T00:11:01-05:00,SM,192.168.1.3,2,2,,,106,105,22,22,	-80,	-82,	-93,	-96,154M,,-74,-76,,,,,
2026-02-25T00:12:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,22,23,	-79,	-81,	-93,	-94,137M,,-74,-75,,,,,
2026-02-25T00:12:01-05:00,SM,192.168.1.3,2,2,,,105,105,22,23,	-79,	-81,	-93,	-94,137M,,-74,-75,,,,,
2026-02-25T00:13:01-05:00,AP,192.168.1.2,0,137,2,2,106,105,22,23,	-82,	-83,	-94,	-93,154M,,-74,-77,,,,,
2026-02-25T00:13:01-05:00,SM,192.168.1.3,2,2,,,106,105,22,23,	-82,	-83,	-94,	-93,154M,,-74,-77,,,,,
2026-02-25T00:14:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,22,24,	-81,	-83,	-92,	-95,137M,,-74,-76,,,,,
2026-02-25T00:14:01-05:00,SM,192.168.1.3,2,2,,,105,105,22,24,	-81,	-83,	-92,	-95,137M,,-74,-76,,,,,
2026-02-25T00:15:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,22,22,	-80,	-82,	-93,	-95,137M,,-74,-76,,,,,
2026-02-25T00:15:01-05:00,SM,192.168.1.3,2,2,,,105,105,22,22,	-80,	-82,	-93,	-95,137M,,-74,-76,,,,,
2026-02-25T00:16:01-05:00,AP,192.168.1.2,0,137,2,2,106,105,22,22,	-80,	-82,	-92,	-94,154M,,-74,-76,,,,,
2026-02-25T00:16:01-05:00,SM,192.168.1.3,2,2,,,106,105,22,22,	-80,	-82,	-92,	-94,154M,,-74,-76,,,,,
2026-02-25T00:17:01-05:00,AP,192.168.1.2,0,137,2,2,106,105,22,23,	-81,	-83,	-91,	-94,154M,,-74,-77,,,,,
2026-02-25T00:17:01-05:00,SM,192.168.1.3,2,2,,,106,105,22,23,	-81,	-83,	-91,	-94,154M,,-74,-77,,,,,
2026-02-25T00:18:01-05:00,AP,192.168.1.2,0,137,2,2,106,105,22,23,	-81,	-83,	-91,	-94,154M,,-74,-77,,,,,
2026-02-25T00:18:01-05:00,SM,192.168.1.3,2,2,,,106,105,22,23,	-81,	-83,	-91,	-94,154M,,-74,-77,,,,,
2026-02-25T00:19:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,22,23,	-80,	-81,	-91,	-94,137M,,-74,-75,,,,,
2026-02-25T00:19:01-05:00,SM,192.168.1.3,2,2,,,105,105,22,23,	-80,	-81,	-91,	-94,137M,,-74,-75,,,,,
2026-02-25T00:20:01-05:00,AP,192.168.1.2,0,137,2,2,106,105,22,22,	-80,	-82,	-93,	-95,154M,,-76,-76,,,,,
2026-02-25T00:20:01-05:00,SM,192.168.1.3,2,2,,,106,105,22,22,	-80,	-82,	-93,	-95,154M,,-76,-76,,,,,
2026-02-25T00:21:01-05:00,AP,192.168.1.2,0,137,2,2,106,105,22,23,	-81,	-83,	-91,	-95,154M,,-76,-77,,,,,
