timestamp;dl_rssi;dl_snr;dl_mcs;dl_throughput;dl_pkts;dl_kbits;ul_rssi;ul_snr;ul_mcs;ul_throughput;ul_pkts;ul_kbits;mode
2026-05-15T20:02:21-05:00;-76;20;102;0.84;404;253;-79;19;101;0.37;186;111;sm
2026-05-15T20:07:22-05:00;-76;20;104;0.97;545;293;-78;20;103;0.37;186;110;sm
2026-05-15T20:12:23-05:00;-76;20;101;2.34;454;704;-77;21;103;0.38;197;113;sm
2026-05-15T20:17:24-05:00;-76;20;102;2.21;475;666;-78;20;103;0.37;194;112;sm
2026-05-15T20:22:25-05:00;-76;20;102;1.07;269;323;-77;21;105;0.36;182;108;sm
2026-05-15T20:27:26-05:00;-76;20;103;1.11;234;333;-78;20;104;0.39;190;116;sm
2026-05-15T20:32:27-05:00;-76;20;103;0.6;194;180;-77;21;103;0.38;186;113;sm
2026-05-15T20:37:27-05:00;-76;20;102;0.83;222;250;-78;20;103;0.37;193;111;sm
2026-05-15T20:42:29-05:00;-76;20;102;0.9;239;272;-78;20;104;0.36;190;109;sm
2026-05-15T20:47:30-05:00;-76;20;104;0.61;199;183;-77;21;105;0.36;189;108;sm
2026-05-15T20:52:31-05:00;-76;20;102;0.97;309;292;-78;20;102;0.37;183;111;sm
2026-05-15T20:57:33-05:00;-76;20;101;0.95;258;287;-78;20;104;0.37;188;113;sm
2026-05-15T21:02:35-05:00;-76;20;103;0.59;195;177;-80;20;104;0.35;181;105;sm
2026-05-15T21:07:36-05:00;-76;20;102;0.83;228;250;-78;20;103;0.4;200;119;sm
2026-05-15T21:12:37-05:00;-76;20;104;0.6;198;181;-78;20;103;0.36;184;107;sm
2026-05-15T21:17:38-05:00;-76;20;102;0.58;195;176;-78;20;103;0.39;191;116;sm
2026-05-15T21:22:39-05:00;-76;20;104;0.91;249;273;-78;20;104;0.38;193;114;sm
2026-05-15T21:27:40-05:00;-76;20;103;0.98;214;296;-78;20;104;0.36;184;107;sm
2026-05-15T21:32:41-05:00;-76;20;104;0.58;188;174;-78;20;104;0.37;183;111;sm
2026-05-15T21:37:42-05:00;-76;20;102;1.11;394;335;-77;21;104;0.38;200;116;sm
2026-05-15T21:42:43-05:00;-76;20;104;0.63;216;189;-78;20;104;0.34;176;102;sm
2026-05-15T21:47:44-05:00;-76;20;103;0.74;248;224;-79;19;103;0.39;202;116;sm
2026-05-15T21:52:45-05:00;-76;20;102;0.77;211;231;-78;20;104;0.38;185;113;sm
2026-05-15T21:57:46-05:00;-76;20;103;1.07;229;321;-77;21;104;0.37;192;112;sm
