timestamp;dl_rssi;dl_snr;dl_mcs;dl_throughput;dl_pkts;dl_kbits;ul_rssi;ul_snr;ul_mcs;ul_throughput;ul_pkts;ul_kbits;mode
2026-05-16T20:04:30-05:00;-77;19;104;1.81;951;545;-78;20;104;0.38;197;114;sm
2026-05-16T20:09:31-05:00;-77;19;101;2.06;1030;621;-78;20;104;0.39;205;116;sm
2026-05-16T20:14:32-05:00;-77;19;102;1.43;559;429;-78;20;104;0.37;199;110;sm
2026-05-16T20:19:32-05:00;-77;19;101;1.89;486;567;-78;20;103;0.37;197;110;sm
2026-05-16T20:24:35-05:00;-77;19;102;2.1;606;636;-77;21;104;0.39;208;119;sm
2026-05-16T20:29:36-05:00;-77;19;104;1.26;610;379;-79;19;104;0.39;200;116;sm
2026-05-16T20:34:37-05:00;-77;19;105;1.21;611;364;-78;20;104;0.36;189;108;sm
2026-05-16T20:39:38-05:00;-77;19;102;0.96;435;289;-77;21;105;0.41;218;122;sm
2026-05-16T20:44:40-05:00;-77;19;103;0.73;279;219;-78;20;104;0.4;212;121;sm
2026-05-16T20:49:40-05:00;-77;19;101;0.61;237;182;-78;20;103;0.36;194;108;sm
2026-05-16T20:54:40-05:00;-77;19;102;0.66;243;197;-77;21;103;0.44;227;133;sm
2026-05-16T20:59:42-05:00;-77;19;102;0.93;198;281;-78;20;104;0.35;188;107;sm
2026-05-16T21:04:42-05:00;-77;19;102;0.52;198;155;-78;20;105;0.4;214;121;sm
2026-05-16T21:09:44-05:00;-77;19;102;0.66;247;201;-78;20;104;0.36;195;108;sm
2026-05-16T21:14:46-05:00;-77;19;102;0.57;222;173;-79;19;104;0.38;207;116;sm
2026-05-16T21:19:47-05:00;-77;19;104;0.58;229;175;-77;21;104;0.39;203;116;sm
2026-05-16T21:24:48-05:00;-77;19;102;0.48;187;145;-77;21;104;0.35;192;105;sm
2026-05-16T21:29:49-05:00;-77;19;102;0.51;193;153;-77;21;103;0.39;214;118;sm
2026-05-16T21:34:50-05:00;-77;19;103;0.57;215;173;-78;20;104;0.42;224;125;sm
2026-05-16T21:39:51-05:00;-77;19;102;0.43;166;129;-78;20;103;0.35;191;105;sm
2026-05-16T21:44:51-05:00;-77;19;102;0.57;214;171;-79;19;104;0.43;228;129;sm
2026-05-16T21:49:53-05:00;-77;19;105;0.5;189;152;-77;21;103;0.38;206;115;sm
2026-05-16T21:54:53-05:00;-77;19;103;0.54;196;162;-78;20;104;0.38;208;114;sm
2026-05-16T21:59:55-05:00;-77;19;101;0.49;180;148;-77;21;103;0.36;195;109;sm
