timestamp;dl_rssi;dl_snr;dl_mcs;dl_throughput;dl_pkts;dl_kbits;ul_rssi;ul_snr;ul_mcs;ul_throughput;ul_pkts;ul_kbits;mode
2026-04-05T00:03:51-05:00;-76;22;106;0.37;117;112;-79;21;105;0.26;143;78;sm
2026-04-05T00:08:52-05:00;-77;21;104;0.36;110;108;-79;21;105;0.25;134;74;sm
2026-04-05T00:13:53-05:00;-77;21;104;0.35;109;106;-78;22;104;0.26;137;77;sm
2026-04-05T00:18:54-05:00;-76;22;104;0.35;107;105;-79;21;104;0.25;132;74;sm
2026-04-05T00:23:55-05:00;-77;21;105;0.4;121;119;-79;21;104;0.26;140;78;sm
2026-04-05T00:28:56-05:00;-77;21;104;0.33;104;99;-79;21;104;0.24;131;72;sm
2026-04-05T00:33:57-05:00;-77;21;105;0.33;104;100;-79;21;103;0.25;133;75;sm
2026-04-05T00:38:58-05:00;-77;21;105;0.37;111;111;-78;22;104;0.25;139;75;sm
2026-04-05T00:43:59-05:00;-75;21;104;0.32;99;96;-79;21;103;0.24;130;73;sm
2026-04-05T00:49:00-05:00;-77;21;105;0.38;114;115;-79;21;104;0.26;143;78;sm
2026-04-05T00:54:01-05:00;-77;21;105;0.31;92;93;-79;21;104;0.25;131;74;sm
2026-04-05T00:59:02-05:00;-77;21;104;0.36;104;109;-78;22;104;0.25;138;74;sm
2026-04-05T01:04:03-05:00;-77;21;106;0.33;98;99;-79;21;105;0.25;135;75;sm
2026-04-05T01:09:04-05:00;-77;21;105;0.37;112;112;-79;21;105;0.25;137;75;sm
2026-04-05T01:14:05-05:00;-76;22;105;0.35;103;106;-79;21;105;0.25;133;75;sm
2026-04-05T01:19:06-05:00;-77;21;105;0.37;103;110;-79;21;105;0.24;133;71;sm
2026-04-05T01:24:07-05:00;-77;21;105;0.33;100;99;-79;21;105;0.25;136;74;sm
2026-04-05T01:29:08-05:00;-76;21;106;0.3;88;91;-79;21;104;0.23;121;68;sm
2026-04-05T01:34:09-05:00;-77;21;106;0.4;114;121;-79;21;104;0.25;145;76;sm
2026-04-05T01:39:10-05:00;-77;21;105;0.34;100;103;-79;21;105;0.23;128;70;sm
2026-04-05T01:44:11-05:00;-78;20;105;0.39;109;116;-79;21;105;0.26;143;77;sm
2026-04-05T01:49:13-05:00;-77;21;104;0.32;92;97;-78;22;105;0.22;121;67;sm
2026-04-05T01:54:15-05:00;-77;21;106;0.35;103;107;-79;21;105;0.25;139;75;sm
2026-04-05T01:59:16-05:00;-77;21;105;0.39;107;117;-79;21;105;0.24;135;72;sm
2026-04-05T02:04:17-05:00;-77;21;106;0.34;103;101;-79;21;105;0.27;144;80;sm
2026-04-05T02:09:18-05:00;-77;21;105;0.3;90;90;-79;21;105;0.23;124;69;sm
2026-04-05T02:14:19-05:00;-77;21;105;0.38;108;115;-79;21;104;0.26;145;78;sm
2026-04-05T02:19:20-05:00;-77;21;105;0.33;97;100;-79;21;105;0.24;131;72;sm
