timestamp;dl_rssi;dl_snr;dl_mcs;dl_throughput;dl_pkts;dl_kbits;ul_rssi;ul_snr;ul_mcs;ul_throughput;ul_pkts;ul_kbits;mode
2026-04-20T20:04:52-05:00;-74;22;106;0.99;490;299;-77;23;102;0.24;135;72;sm
2026-04-20T20:09:53-05:00;-74;22;101;1.3;455;393;-76;22;104;0.23;130;70;sm
2026-04-20T20:14:54-05:00;-74;22;103;1.23;491;368;-76;22;104;0.25;135;75;sm
2026-04-20T20:19:55-05:00;-73;23;103;1.07;253;322;-78;22;101;0.24;133;71;sm
2026-04-20T20:24:56-05:00;-74;22;102;0.41;127;124;-78;20;101;0.25;136;74;sm
2026-04-20T20:29:57-05:00;-74;22;101;1.03;226;309;-76;22;103;0.24;132;71;sm
2026-04-20T20:34:58-05:00;-74;22;102;0.74;287;222;-77;23;102;0.26;137;77;sm
2026-04-20T20:39:59-05:00;-74;22;106;1.5;306;453;-76;22;103;0.22;120;66;sm
2026-04-20T20:44:57-05:00;-74;22;101;2.06;405;622;;;103;0.26;144;79;sm
2026-04-20T20:49:59-05:00;-74;22;104;0.78;253;236;-77;22;103;0.25;136;74;sm
2026-04-20T20:50:02-05:00;;;;;;;-75;23;;;;;sm
2026-04-20T20:55:03-05:00;-74;22;101;0.71;255;215;-76;22;104;0.25;137;74;sm
2026-04-20T21:00:21-05:00;-74;22;104;1.03;374;310;-79;21;102;0.22;125;66;sm
2026-04-20T21:05:04-05:00;-74;22;107;1.04;465;312;-75;23;103;0.26;141;78;sm
2026-04-20T21:10:05-05:00;-74;22;101;1.3;432;390;-78;22;102;0.22;121;66;sm
2026-04-20T21:15:06-05:00;-74;22;101;1.31;602;394;-78;20;102;0.27;151;82;sm
2026-04-20T21:20:07-05:00;-74;22;101;0.62;249;187;-76;22;103;0.25;135;75;sm
2026-04-20T21:25:08-05:00;-74;22;105;0.38;124;113;-77;22;103;0.24;138;72;sm
2026-04-20T21:30:10-05:00;-74;22;101;0.94;241;282;-76;22;101;0.24;130;72;sm
2026-04-20T21:35:11-05:00;-74;22;101;0.96;411;290;-77;21;103;0.24;128;73;sm
2026-04-20T21:40:12-05:00;-74;22;102;0.95;257;287;-80;20;103;0.25;137;75;sm
2026-04-20T21:45:13-05:00;-74;22;105;0.56;154;169;-76;22;104;0.25;142;76;sm
2026-04-20T21:50:14-05:00;-74;22;104;0.56;227;168;-78;22;103;0.25;135;75;sm
2026-04-20T21:55:15-05:00;-74;22;101;0.58;233;176;-79;20;102;0.25;135;74;sm
