timestamp;dl_rssi;dl_snr;dl_mcs;dl_throughput;dl_pkts;dl_kbits;ul_rssi;ul_snr;ul_mcs;ul_throughput;ul_pkts;ul_kbits;mode
2026-05-10T20:01:52-05:00;-76;20;103;0.71;232;213;-78;20;103;0.37;189;110;sm
2026-05-10T20:06:53-05:00;-76;20;104;1.35;601;408;-78;20;104;0.37;192;113;sm
2026-05-10T20:11:55-05:00;-76;20;103;1.88;894;568;-77;21;104;0.36;190;110;sm
2026-05-10T20:16:56-05:00;-76;20;104;3.03;852;915;-80;20;104;0.41;209;123;sm
2026-05-10T20:21:57-05:00;-76;20;106;1.18;509;354;-78;20;103;0.36;188;109;sm
2026-05-10T20:26:58-05:00;-76;20;104;0.87;271;264;-78;20;102;0.39;203;117;sm
2026-05-10T20:31:59-05:00;-76;20;104;0.51;158;152;-80;20;103;0.3;161;91;sm
2026-05-10T20:37:01-05:00;-76;20;104;1.47;316;444;-80;20;103;0.35;181;105;sm
2026-05-10T20:42:02-05:00;-76;20;106;1.52;412;457;-78;20;103;0.38;196;114;sm
2026-05-10T20:47:03-05:00;-76;21;105;0.59;191;177;-77;21;104;0.37;192;111;sm
2026-05-10T20:52:04-05:00;-76;21;104;0.61;198;184;-79;19;102;0.35;185;106;sm
2026-05-10T20:57:05-05:00;-76;21;105;0.57;183;173;-80;20;104;0.35;185;106;sm
2026-05-10T21:02:06-05:00;-76;21;103;0.84;274;254;-81;19;103;0.35;179;104;sm
2026-05-10T21:07:07-05:00;-76;21;106;0.95;250;288;-78;20;103;0.35;183;106;sm
2026-05-10T21:12:10-05:00;-76;21;104;1.43;265;432;-80;20;103;0.32;168;96;sm
2026-05-10T21:17:10-05:00;-76;21;104;0.65;211;196;-77;21;104;0.39;199;116;sm
2026-05-10T21:22:12-05:00;-76;21;106;0.59;185;178;-78;20;103;0.35;183;107;sm
2026-05-10T21:27:13-05:00;-76;21;104;0.58;184;174;-80;19;105;0.35;182;105;sm
2026-05-10T21:32:14-05:00;-76;21;105;0.56;182;169;-79;19;105;0.35;180;104;sm
2026-05-10T21:37:14-05:00;-76;21;105;0.94;224;283;-79;21;104;0.51;224;152;sm
2026-05-10T21:42:15-05:00;-76;21;105;1.17;255;353;-80;20;104;0.37;187;110;sm
2026-05-10T21:47:16-05:00;-76;21;104;1.01;432;303;-78;20;105;0.41;204;122;sm
2026-05-10T21:52:16-05:00;-76;21;103;1.08;501;324;-80;20;104;0.39;196;118;sm
2026-05-10T21:57:17-05:00;-76;21;105;1.38;697;415;-78;20;104;0.38;193;113;sm
