timestamp;dl_rssi;dl_snr;dl_mcs;dl_throughput;dl_pkts;dl_kbits;ul_rssi;ul_snr;ul_mcs;ul_throughput;ul_pkts;ul_kbits;mode
2026-05-23T00:02:35-05:00;-76;20;104;0.53;179;158;-78;20;104;0.4;203;120;sm
2026-05-23T00:07:36-05:00;-76;20;104;0.52;180;156;-78;20;105;0.39;207;117;sm
2026-05-23T00:12:58-05:00;;;;;;;;;;;;;sm
2026-05-23T00:19:06-05:00;;;;;;;-78;22;;;;;sm
2026-05-23T00:24:50-05:00;-76;20;105;;;;-76;22;105;;;;sm
2026-05-23T00:29:51-05:00;-75;22;105;0.66;185;198;-76;22;105;0.41;201;122;sm
2026-05-23T00:34:52-05:00;-75;22;105;0.45;156;137;-76;22;105;0.34;186;102;sm
2026-05-23T00:39:53-05:00;-74;22;105;0.48;157;143;-77;21;105;0.35;189;105;sm
2026-05-23T00:44:55-05:00;-74;22;106;0.62;210;187;-76;22;105;0.33;192;101;sm
2026-05-23T00:49:56-05:00;-74;22;105;0.71;235;214;-76;22;105;0.32;179;95;sm
2026-05-23T00:54:57-05:00;-74;22;106;0.7;229;211;-76;22;105;0.33;186;99;sm
2026-05-23T00:59:58-05:00;-75;22;105;0.49;168;149;-76;22;105;0.35;189;106;sm
2026-05-23T01:04:59-05:00;-74;22;105;0.46;152;137;-76;22;105;0.31;175;94;sm
2026-05-23T01:07:49-05:00;;;;;;;-76;22;;;;;sm
2026-05-23T01:12:50-05:00;-74;22;105;0.87;282;263;-76;22;105;1.2;402;362;sm
2026-05-23T01:17:51-05:00;-74;22;104;0.48;151;146;-76;22;105;0.33;179;100;sm
2026-05-23T01:22:52-05:00;-74;22;105;0.4;140;120;-78;22;105;0.32;175;95;sm
2026-05-23T01:27:53-05:00;-74;22;105;0.48;159;145;-77;21;105;0.33;189;101;sm
2026-05-23T01:32:54-05:00;-74;22;105;0.4;136;121;-76;22;105;0.3;166;90;sm
2026-05-23T01:37:56-05:00;-76;21;105;0.51;172;155;-79;21;105;0.35;202;107;sm
2026-05-23T01:42:57-05:00;-75;22;105;0.44;147;132;-76;22;105;0.31;177;93;sm
2026-05-23T01:47:58-05:00;-75;22;105;0.45;152;134;-76;22;105;0.34;185;102;sm
2026-05-23T01:52:59-05:00;-75;22;105;0.45;150;135;-77;21;105;0.31;177;95;sm
2026-05-23T01:58:00-05:00;-75;22;105;0.43;151;129;-77;21;105;0.34;180;101;sm
2026-05-23T02:03:00-05:00;-75;22;105;0.46;158;139;-75;23;105;0.33;187;100;sm
2026-05-23T02:08:01-05:00;-75;22;105;0.44;155;132;-77;21;104;0.33;180;100;sm
2026-05-23T02:13:02-05:00;-75;22;105;0.47;164;142;-76;22;105;0.33;189;101;sm
2026-05-23T02:18:03-05:00;-75;22;104;0.45;153;134;-78;22;105;0.33;184;98;sm
2026-05-23T02:23:03-05:00;-75;22;105;0.44;156;131;-77;21;105;0.33;186;100;sm
2026-05-23T02:28:04-05:00;-75;21;105;0.46;159;139;-76;22;104;0.34;189;103;sm
2026-05-23T02:33:05-05:00;-75;21;105;0.41;149;124;-76;22;105;0.32;179;97;sm
2026-05-23T02:38:06-05:00;-77;21;106;0.5;166;152;-77;21;105;0.33;187;101;sm
2026-05-23T02:43:13-05:00;-75;21;105;0.43;151;128;-76;22;104;0.33;180;98;sm
2026-05-23T02:48:08-05:00;-75;21;105;0.47;164;142;-77;21;105;0.34;188;103;sm
2026-05-23T02:53:09-05:00;-75;21;105;0.41;142;123;-77;21;105;0.32;182;98;sm
2026-05-23T02:58:10-05:00;-75;21;104;0.39;138;118;-76;22;104;0.31;168;92;sm
2026-05-23T03:03:11-05:00;-75;21;105;0.44;141;134;-78;22;105;0.29;166;89;sm
2026-05-23T03:08:12-05:00;-75;21;105;0.46;146;139;-77;21;105;0.32;177;95;sm
2026-05-23T03:13:13-05:00;-74;22;105;0.37;125;112;-79;21;105;0.29;160;87;sm
2026-05-23T03:18:13-05:00;-74;22;105;0.44;148;133;-77;21;105;0.33;184;100;sm
2026-05-23T03:23:14-05:00;-74;22;105;0.43;143;130;-76;22;105;0.3;170;90;sm
2026-05-23T03:28:15-05:00;-76;22;105;0.43;142;130;-78;22;105;0.31;172;92;sm
2026-05-23T03:33:16-05:00;-77;21;106;0.4;133;121;-76;22;105;0.31;169;93;sm
2026-05-23T03:38:17-05:00;-74;22;105;0.37;122;111;-77;21;105;0.28;157;83;sm
2026-05-23T03:43:18-05:00;-74;22;105;0.4;133;122;-78;22;105;0.29;166;89;sm
2026-05-23T03:48:19-05:00;-74;22;105;0.42;140;127;-76;22;105;0.3;172;91;sm
2026-05-23T03:53:20-05:00;-75;21;105;0.42;141;126;-78;22;105;0.31;172;92;sm
2026-05-23T03:58:21-05:00;-75;21;105;0.43;143;129;-76;22;105;0.32;175;96;sm
2026-05-23T04:03:23-05:00;-77;21;104;0.46;149;139;-76;22;105;0.32;176;96;sm
2026-05-23T04:08:24-05:00;-75;21;105;0.41;127;124;-78;22;105;0.26;152;79;sm
2026-05-23T04:13:25-05:00;-75;22;105;0.4;132;121;-77;21;105;0.29;164;87;sm
2026-05-23T04:18:26-05:00;-75;22;105;0.45;148;136;-77;21;105;0.32;179;97;sm
2026-05-23T04:23:27-05:00;-75;22;105;0.42;135;125;-79;21;105;0.3;168;90;sm
2026-05-23T04:28:28-05:00;-75;21;104;0.41;134;124;-78;20;104;0.29;161;86;sm
2026-05-23T04:33:30-05:00;-75;21;105;0.42;143;127;-76;22;104;0.31;172;92;sm
2026-05-23T04:38:31-05:00;-75;21;105;0.46;149;138;-76;22;105;0.32;178;98;sm
2026-05-23T04:43:32-05:00;-75;22;105;0.44;149;131;-77;21;105;0.31;176;94;sm
2026-05-23T04:48:33-05:00;-75;22;105;0.46;145;139;-77;21;105;0.3;170;91;sm
2026-05-23T04:53:34-05:00;-75;22;104;0.43;145;128;-76;22;105;0.31;174;94;sm
2026-05-23T04:58:34-05:00;-75;22;105;0.39;133;118;-77;21;104;0.31;168;93;sm
2026-05-23T05:03:34-05:00;-75;21;105;0.42;139;127;-78;22;105;0.3;166;91;sm
2026-05-23T05:08:35-05:00;-75;22;105;0.44;151;132;-78;22;105;0.32;180;98;sm
2026-05-23T05:13:36-05:00;-75;22;106;0.5;161;149;-76;22;105;0.28;156;85;sm
2026-05-23T05:18:37-05:00;-75;22;104;0.53;202;161;-76;22;105;0.32;177;97;sm
2026-05-23T05:23:37-05:00;-75;22;104;0.49;190;148;-76;22;105;0.31;176;94;sm
2026-05-23T05:28:38-05:00;-77;21;104;0.44;140;132;-76;22;105;0.3;168;90;sm
2026-05-23T05:33:39-05:00;-77;21;104;0.41;142;124;-76;22;105;0.32;175;95;sm
2026-05-23T05:38:41-05:00;-75;22;105;0.48;164;145;-76;22;105;0.31;175;94;sm
2026-05-23T05:43:42-05:00;-76;22;105;0.45;150;134;-76;22;105;0.32;177;95;sm
2026-05-23T05:48:42-05:00;-76;22;104;0.43;143;129;-75;23;105;0.31;171;92;sm
2026-05-23T05:53:44-05:00;-76;22;104;0.43;143;130;-78;22;105;0.32;176;95;sm
2026-05-23T05:58:45-05:00;-76;22;105;0.44;141;131;-76;22;105;0.3;169;91;sm
2026-05-23T06:03:46-05:00;-74;22;105;0.53;184;161;-76;22;105;0.31;174;93;sm
2026-05-23T06:08:47-05:00;-74;22;105;0.65;244;197;-76;22;105;0.33;184;99;sm
2026-05-23T06:13:48-05:00;-77;21;105;1.05;487;316;-76;22;104;0.32;176;95;sm
2026-05-23T06:18:49-05:00;-77;21;104;0.48;169;143;-76;22;104;0.31;170;92;sm
2026-05-23T06:23:50-05:00;-75;21;105;0.51;183;155;-76;22;105;0.3;167;90;sm
2026-05-23T06:28:51-05:00;-74;22;105;0.45;151;136;-76;22;105;0.31;176;94;sm
2026-05-23T06:33:52-05:00;-74;22;105;1.26;279;382;-76;22;105;0.64;282;194;sm
2026-05-23T06:38:54-05:00;-74;22;105;1;421;300;-76;22;105;0.38;202;113;sm
2026-05-23T06:43:55-05:00;-75;21;105;0.85;338;257;-76;22;104;0.38;205;113;sm
2026-05-23T06:48:56-05:00;-75;21;105;0.86;391;259;-76;22;105;0.36;190;108;sm
2026-05-23T06:53:57-05:00;-75;21;105;1.45;390;435;-76;22;104;0.39;211;116;sm
2026-05-23T06:58:58-05:00;-75;21;105;0.8;328;240;-77;21;104;0.36;198;108;sm
2026-05-23T07:03:59-05:00;-75;21;105;0.57;201;173;-77;21;105;0.39;199;117;sm
2026-05-23T07:08:59-05:00;-75;21;105;0.6;203;180;-77;21;105;0.36;197;107;sm
2026-05-23T07:14:01-05:00;-75;21;105;0.72;252;218;-77;21;103;0.37;200;110;sm
2026-05-23T07:19:02-05:00;-75;21;103;0.55;190;167;-78;20;103;0.35;190;104;sm
2026-05-23T07:24:02-05:00;-75;21;105;1;212;301;-76;22;105;0.39;216;118;sm
2026-05-23T07:29:03-05:00;-76;21;105;0.53;188;159;-76;22;105;0.37;198;111;sm
2026-05-23T07:34:04-05:00;-76;21;105;0.47;163;140;-76;22;105;0.36;197;109;sm
2026-05-23T07:39:05-05:00;-76;21;103;1.65;368;496;-76;22;105;0.36;200;109;sm
2026-05-23T07:44:06-05:00;-75;21;105;1.18;297;353;-75;23;104;0.35;187;105;sm
2026-05-23T07:49:07-05:00;-75;21;104;0.55;194;166;-76;22;105;0.39;211;117;sm
2026-05-23T07:54:08-05:00;-75;21;105;0.53;184;161;-76;22;105;0.35;197;106;sm
2026-05-23T07:59:09-05:00;-75;21;105;0.54;187;164;-78;22;105;0.37;197;110;sm
2026-05-23T08:04:10-05:00;-76;22;105;0.66;261;198;-76;22;105;0.37;194;111;sm
2026-05-23T08:09:11-05:00;-76;22;105;0.74;315;223;-78;22;105;0.36;196;109;sm
2026-05-23T08:14:12-05:00;-76;22;104;1.25;514;379;-78;22;105;0.38;215;116;sm
2026-05-23T08:19:12-05:00;-76;22;105;0.91;355;273;-76;22;104;0.37;201;112;sm
2026-05-23T08:24:13-05:00;-76;22;104;1.45;278;434;-77;23;105;0.36;193;108;sm
2026-05-23T08:29:14-05:00;-76;22;106;1.7;573;516;-76;22;104;0.4;213;121;sm
2026-05-23T08:34:14-05:00;-76;22;104;1.54;511;464;-76;22;105;0.38;197;114;sm
2026-05-23T08:39:16-05:00;-76;22;106;1.93;396;580;-78;22;105;0.36;195;108;sm
2026-05-23T08:44:17-05:00;-74;22;104;1.76;404;530;-77;23;105;0.33;179;98;sm
