timestamp;dl_rssi;dl_snr;dl_mcs;dl_throughput;dl_pkts;dl_kbits;ul_rssi;ul_snr;ul_mcs;ul_throughput;ul_pkts;ul_kbits;mode
2026-04-08T20:02:25-05:00;-75;21;104;0.86;386;259;-78;22;104;0.22;122;65;sm
2026-04-08T20:07:26-05:00;-77;21;106;0.7;299;210;-78;22;103;0.28;151;84;sm
2026-04-08T20:12:27-05:00;-77;21;105;0.69;321;208;-78;22;104;0.25;136;75;sm
2026-04-08T20:17:28-05:00;-77;21;103;0.4;158;120;-78;22;105;0.24;131;73;sm
2026-04-08T20:22:29-05:00;-77;21;104;0.43;129;128;-78;22;104;0.29;151;86;sm
2026-04-08T20:27:30-05:00;-75;21;103;0.58;243;176;-79;21;104;0.21;117;63;sm
2026-04-08T20:32:31-05:00;-77;21;102;0.84;409;252;-79;21;104;0.27;146;81;sm
2026-04-08T20:37:32-05:00;-77;21;105;0.9;434;271;-78;22;103;0.24;132;73;sm
2026-04-08T20:42:34-05:00;-77;21;106;0.85;388;257;-78;22;104;0.29;154;89;sm
2026-04-08T20:47:35-05:00;-77;21;104;0.51;194;153;-78;22;104;0.23;126;68;sm
2026-04-08T20:52:36-05:00;-77;21;106;0.55;186;165;-78;22;103;0.28;148;85;sm
2026-04-08T20:57:38-05:00;-78;21;106;0.39;126;118;-80;20;104;0.25;134;74;sm
2026-04-08T21:02:39-05:00;-77;21;106;0.4;133;121;-79;21;105;0.26;142;79;sm
2026-04-08T21:07:40-05:00;-77;21;103;0.33;112;100;-78;22;104;0.25;133;74;sm
2026-04-08T21:12:41-05:00;-77;21;105;1.32;285;396;-78;22;104;0.28;145;84;sm
2026-04-08T21:17:42-05:00;-77;21;106;1.28;245;386;-78;22;104;0.26;143;79;sm
2026-04-08T21:22:43-05:00;-77;21;102;0.69;151;209;-79;21;103;0.25;138;76;sm
2026-04-08T21:27:44-05:00;-77;21;105;0.99;244;297;-79;21;104;0.24;130;72;sm
2026-04-08T21:32:45-05:00;-77;21;105;0.5;150;150;-79;21;104;0.26;141;77;sm
2026-04-08T21:37:46-05:00;-77;21;106;0.39;131;118;-79;21;103;0.25;136;75;sm
2026-04-08T21:42:47-05:00;-77;21;104;1.19;356;359;-79;21;105;0.25;138;75;sm
2026-04-08T21:47:48-05:00;-77;21;104;0.75;372;225;-79;21;103;0.24;129;72;sm
2026-04-08T21:52:49-05:00;-75;21;105;0.97;484;292;-79;21;104;0.25;141;75;sm
2026-04-08T21:57:51-05:00;-76;22;103;1.01;483;306;-78;22;105;0.24;131;72;sm
