timestamp;dl_rssi;dl_snr;dl_mcs;dl_throughput;dl_pkts;dl_kbits;ul_rssi;ul_snr;ul_mcs;ul_throughput;ul_pkts;ul_kbits;mode
2026-04-06T01:03:12-05:00;-77;21;105;0.38;109;115;-80;20;104;0.25;136;74;sm
2026-04-06T01:08:13-05:00;-77;21;105;0.34;102;101;-79;21;105;0.25;138;74;sm
2026-04-06T01:13:14-05:00;-77;21;105;0.34;100;101;-79;21;105;0.25;137;76;sm
2026-04-06T01:18:14-05:00;-77;21;105;0.35;104;104;-79;21;104;0.25;139;75;sm
2026-04-06T01:23:15-05:00;-77;21;105;0.32;94;96;-79;21;104;0.23;126;69;sm
2026-04-06T01:28:17-05:00;-77;21;105;0.35;101;107;-79;21;104;0.24;132;72;sm
2026-04-06T01:33:18-05:00;-77;21;105;0.38;110;113;-79;21;104;0.25;140;75;sm
2026-04-06T01:38:20-05:00;-77;21;105;0.35;101;107;-79;21;105;0.23;130;70;sm
2026-04-06T01:43:21-05:00;-77;21;105;0.34;98;102;-79;21;105;0.23;127;70;sm
2026-04-06T01:48:22-05:00;-76;22;105;0.35;100;105;-79;21;104;0.25;138;75;sm
2026-04-06T01:53:23-05:00;-77;21;105;0.36;105;109;-79;21;105;0.24;135;73;sm
2026-04-06T01:58:24-05:00;-77;21;104;0.34;103;102;-79;21;105;0.25;138;75;sm
2026-04-06T02:03:25-05:00;-77;21;104;0.34;104;103;-79;21;105;0.25;136;76;sm
2026-04-06T02:08:26-05:00;-77;21;105;0.33;97;100;-79;21;103;0.23;128;70;sm
2026-04-06T02:13:27-05:00;-77;21;105;0.37;107;112;-79;21;104;0.24;134;73;sm
2026-04-06T02:18:29-05:00;-76;22;106;0.33;97;100;-79;21;103;0.25;137;75;sm
2026-04-06T02:23:29-05:00;-76;22;105;0.33;96;100;-79;21;104;0.22;126;67;sm
2026-04-06T02:28:30-05:00;-78;20;105;0.35;104;106;-79;21;105;0.23;129;70;sm
2026-04-06T02:33:31-05:00;-77;21;105;0.34;101;103;-79;21;104;0.25;134;74;sm
2026-04-06T02:38:32-05:00;-78;20;105;0.37;116;111;-80;20;104;0.28;150;84;sm
2026-04-06T02:43:33-05:00;-77;21;106;0.34;98;103;-80;20;105;0.25;133;75;sm
2026-04-06T02:48:34-05:00;-77;21;106;0.36;109;108;-79;21;104;0.25;136;76;sm
2026-04-06T02:53:35-05:00;-77;21;106;0.36;110;108;-79;21;104;0.26;142;77;sm
2026-04-06T02:58:35-05:00;-77;21;105;0.34;103;101;-79;21;104;0.25;141;76;sm
